#    WDM      SN1      SN2      AGN
0.228814 0.521330 1.079962 0.276618
0.277576 1.276770 1.674857 0.397503
0.386596 0.921699 0.638702 1.549981
0.521300 3.279720 1.399667 0.527431
0.142744 0.259272 0.755056 2.140952
0.104171 1.797967 1.272670 1.946713
0.539610 0.654517 0.834307 0.495412
0.413205 2.303805 1.522924 2.476856
0.230448 0.369102 0.705785 0.601717
0.181802 3.615843 0.910504 0.865112
0.331924 0.325454 1.167799 3.371655
0.458197 1.157886 0.543827 0.340865
0.055401 0.734393 1.973719 1.384359
0.052612 1.963118 0.510151 0.489140
0.465576 0.599451 1.851341 1.986453
0.331143 2.120999 0.852894 0.619457
0.187173 0.400916 1.094002 2.414133
0.235309 3.948836 1.426685 3.470898
0.411914 0.298011 0.661128 0.843243
0.546478 1.066229 1.193759 1.366765
0.100872 0.797521 0.782643 0.347840
0.143493 2.780288 1.311993 0.752240
0.515961 0.423266 0.707821 3.053418
0.389416 1.497860 1.567955 0.283274
0.270165 0.567702 0.597884 1.104541
0.221914 1.397886 0.917238 1.587238
0.308522 0.841835 1.011030 0.385806
0.435198 3.011437 0.548673 2.101950
0.095365 0.282371 1.710967 0.534667
0.076355 3.313501 0.741149 1.246347
0.456622 0.251129 1.373770 0.320541
0.322183 1.265250 0.626063 3.765225
0.210922 0.950459 1.641853 0.925029
0.293223 1.647627 1.058686 0.671989
0.371849 0.505044 0.960473 2.648263
0.506412 2.517426 1.791538 0.446046
0.158788 0.477694 0.574511 1.830542
0.119808 1.173183 1.928125 2.280194
0.524857 0.709285 0.531310 0.586523
0.398306 3.574141 1.139328 1.447394
0.246486 0.336462 0.888230 0.355527
0.164062 2.333061 0.688523 0.258317
0.348525 0.356664 1.485801 1.017849
0.475199 1.777524 0.815107 0.816034
0.037515 0.676539 1.243277 3.349546
0.047748 2.071546 1.581517 1.735965
0.485238 0.410486 0.616522 0.421783
0.358949 1.836082 1.336451 2.732718
0.174165 0.640929 0.736492 0.695415
0.256461 1.041162 0.564943 0.978071
0.408602 0.816724 1.723513 3.971053
0.535023 3.692466 0.955812 0.309794
0.130167 0.318701 1.031234 1.207630
0.148366 1.462710 0.864978 3.173801
0.496306 0.581348 1.134085 0.771252
0.361618 2.599887 0.511265 1.051199
0.283181 0.452631 1.895528 0.267458
0.200754 2.941092 1.235986 0.376232
0.311826 0.289123 0.792629 1.527292
0.446645 1.307375 1.462538 0.566379
0.066062 0.900125 0.663500 2.208238
0.089341 1.240789 1.187528 0.335839
0.428857 0.969190 0.905740 1.323853
0.302561 3.111666 1.984770 0.892507
0.215764 0.267421 0.535335 3.661853
0.263887 2.468224 0.829942 2.493640
0.383327 0.487220 1.294169 0.641271
0.509746 1.546941 0.694764 1.881899
0.137595 0.537911 1.531451 0.462378
0.106831 3.504426 0.642062 0.516831
0.552630 0.343156 1.647032 2.036299
0.417936 1.101539 0.767034 0.407862
0.241652 0.755414 1.391873 1.674279
0.193390 1.743089 1.794976 1.139568
0.337038 0.689903 0.588367 0.293200
0.471856 2.190850 1.073948 2.896132
0.058700 0.379817 0.995402 0.711204
0.061142 1.367962 1.776193 3.545523
0.472354 0.860251 0.569771 0.902022
0.337664 3.077447 1.062774 1.337977
0.195959 0.276315 0.963877 0.325165
0.245107 2.720652 0.621726 0.477579
0.419447 0.432543 1.629892 1.861851
0.554268 1.530625 0.742785 0.634435
0.110413 0.555549 1.377296 2.575655
0.137010 3.863646 0.820768 1.620555
0.507153 0.304582 1.252308 0.412362
0.380861 1.089414 0.687014 2.058747
0.263429 0.780547 1.482074 0.500253
0.214149 1.921338 1.149231 0.734860
0.298939 0.612487 0.895629 2.864348
0.425362 2.167765 1.920564 0.289985
0.087854 0.392267 0.529417 1.177456
0.069587 2.283311 1.196000 0.687768
0.448099 0.364435 0.783864 2.823552
0.313407 1.816639 1.415375 0.435797
0.204407 0.661973 0.656096 1.716891
0.285680 1.147922 0.855327 1.220927
0.362045 0.724893 1.097517 0.299847
0.496861 3.652016 0.505615 3.843599
0.150992 0.329287 1.834219 0.988832
0.128626 1.612218 0.547083 0.264615
0.531346 0.516135 1.705468 1.085781
0.405053 2.572385 0.925536 0.796635
0.255047 0.467488 1.020499 3.140032
0.173634 3.242707 1.565067 2.231827
0.356283 0.256612 0.596998 0.548398
0.482700 1.293038 1.322462 1.478785
0.047345 0.930034 0.713212 0.380254
0.041002 2.877765 0.695806 0.955362
0.476678 0.295485 1.534300 3.725440
0.350131 1.335860 0.823675 0.317150
0.167676 0.880930 1.283937 1.287227
0.248960 1.431519 1.991199 1.772234
0.398772 0.594016 0.536899 0.450839
0.525450 2.657100 1.176520 2.676750
0.122409 0.442886 0.897628 0.650579
